     a2      ,    y    ,  count  
 AOL         , class17 ,       2
 AUTH        , normal  ,    2328
 AUTH        , class10 ,    1035
 AUTH        , class15 ,       9
 AUTH        , class17 ,       7
 AUTH        , class11 ,       1
 BGP         , class10 ,    1052
 BGP         , class15 ,       9
 BGP         , class17 ,       2
 BGP         , class11 ,       1
 COURIER     , class10 ,    1018
 COURIER     , class15 ,       7
 COURIER     , class17 ,       2
 COURIER     , class11 ,       1
 CSNET_NS    , class10 ,    1028
 CSNET_NS    , class15 ,       9
 CSNET_NS    , class17 ,       3
 CSNET_NS    , class11 ,       1
 CTF         , class10 ,    1039
 CTF         , class15 ,      14
 CTF         , class06 ,      13
 CTF         , class17 ,       3
 CTF         , class11 ,       1
 DAYTIME     , class10 ,    1016
 DAYTIME     , class15 ,      15
 DAYTIME     , class17 ,       3
 DAYTIME     , class11 ,       1
 DISCARD     , class10 ,    1060
 DISCARD     , class15 ,      15
 DISCARD     , class17 ,       3
 DISCARD     , class11 ,       1
 DOMAIN      , class10 ,    1058
 DOMAIN      , normal  ,      38
 DOMAIN      , class06 ,      13
 DOMAIN      , class15 ,      12
 DOMAIN      , class17 ,       3
 DOMAIN      , class11 ,       1
 DOMAIN_U    , normal  ,   57773
 DOMAIN_U    , class17 ,       9
 ECHO        , class10 ,    1046
 ECHO        , class15 ,      15
 ECHO        , class17 ,       3
 ECHO        , class11 ,       1
 ECO_I       , class06 ,   11517
 ECO_I       , normal  ,    3768
 ECO_I       , class11 ,    1026
 ECO_I       , class17 ,      23
 ECO_I       , class15 ,       4
 ECR_I       , class18 , 2807886
 ECR_I       , normal  ,    3456
 ECR_I       , class14 ,     259
 ECR_I       , class06 ,      40
 ECR_I       , class17 ,      11
 ECR_I       , class11 ,       6
 ECR_I       , class15 ,       2
 EFS         , class10 ,    1033
 EFS         , class15 ,       7
 EFS         , class17 ,       2
 EFS         , class11 ,       1
 EXEC        , class10 ,    1049
 EXEC        , class15 ,       7
 EXEC        , class17 ,       2
 EXEC        , class11 ,       1
 FINGER      , normal  ,    5017
 FINGER      , class10 ,    1813
 FINGER      , class17 ,      27
 FINGER      , class07 ,      20
 FINGER      , class06 ,      13
 FINGER      , class15 ,      13
 FINGER      , class11 ,       1
 FTP         , normal  ,    3821
 FTP         , class10 ,    1045
 FTP         , class21 ,     307
 FTP         , class06 ,      13
 FTP         , class15 ,      13
 FTP         , class17 ,       8
 FTP         , class03 ,       2
 FTP         , class09 ,       2
 FTP         , class22 ,       2
 FTP         , class02 ,       1
 FTP         , class08 ,       1
 FTP         , class11 ,       1
 FTP         , class16 ,       1
 FTP_DATA    , normal  ,   38093
 FTP_DATA    , class10 ,    1797
 FTP_DATA    , class21 ,     708
 FTP_DATA    , class17 ,      26
 FTP_DATA    , class22 ,      18
 FTP_DATA    , class15 ,      14
 FTP_DATA    , class06 ,      13
 FTP_DATA    , class02 ,       8
 FTP_DATA    , class03 ,       4
 FTP_DATA    , class08 ,       3
 FTP_DATA    , class09 ,       3
 FTP_DATA    , class11 ,       1
 FTP_DATA    , class16 ,       1
 GOPHER      , class10 ,    1045
 GOPHER      , class06 ,      13
 GOPHER      , class15 ,      13
 GOPHER      , class17 ,      11
 GOPHER      , class11 ,       1
 HARVEST     , class17 ,       2
 HOSTNAMES   , class10 ,    1023
 HOSTNAMES   , class15 ,       9
 HOSTNAMES   , class17 ,       3
 HOSTNAMES   , class11 ,       1
 HTTP        , normal  ,  619046
 HTTP        , class01 ,    2203
 HTTP        , class10 ,    1788
 HTTP        , class15 ,      16
 HTTP        , class06 ,      13
 HTTP        , class17 ,       7
 HTTP        , class13 ,       4
 HTTP        , class11 ,       1
 HTTP_2784   , class17 ,       1
 HTTP_443    , class10 ,    1038
 HTTP_443    , class15 ,       6
 HTTP_443    , class11 ,       1
 HTTP_443    , class17 ,       1
 HTTP_8001   , class17 ,       2
 IMAP4       , class10 ,    1026
 IMAP4       , class05 ,      12
 IMAP4       , class15 ,       8
 IMAP4       , normal  ,       3
 IMAP4       , class17 ,       2
 IMAP4       , class11 ,       1
 IRC         , normal  ,     520
 IRC         , class17 ,       1
 ISO_TSAP    , class10 ,    1035
 ISO_TSAP    , class15 ,      10
 ISO_TSAP    , class17 ,       3
 ISO_TSAP    , class11 ,       1
 KLOGIN      , class10 ,    1037
 KLOGIN      , class15 ,       7
 KLOGIN      , class17 ,       2
 KLOGIN      , class11 ,       1
 KSHELL      , class10 ,    1037
 KSHELL      , class15 ,       7
 KSHELL      , class17 ,       2
 KSHELL      , class11 ,       1
 LDAP        , class10 ,    1030
 LDAP        , class15 ,       6
 LDAP        , class11 ,       1
 LDAP        , class17 ,       1
 LINK        , class10 ,    1042
 LINK        , class15 ,      14
 LINK        , class06 ,      13
 LINK        , class17 ,       3
 LINK        , class11 ,       1
 LOGIN       , class10 ,    1037
 LOGIN       , class15 ,       7
 LOGIN       , class17 ,       3
 LOGIN       , class03 ,       2
 LOGIN       , class11 ,       1
 MTP         , class10 ,    1042
 MTP         , class15 ,      15
 MTP         , class06 ,      13
 MTP         , class17 ,       3
 MTP         , class11 ,       1
 NAME        , class10 ,    1039
 NAME        , class15 ,      14
 NAME        , class06 ,      13
 NAME        , class17 ,       3
 NAME        , class11 ,       1
 NETBIOS_DGM , class10 ,    1052
 NETBIOS_DGM , class15 ,      10
 NETBIOS_DGM , class17 ,       2
 NETBIOS_DGM , class11 ,       1
 NETBIOS_NS  , class10 ,    1059
 NETBIOS_NS  , class15 ,      10
 NETBIOS_NS  , class17 ,       2
 NETBIOS_NS  , class11 ,       1
 NETBIOS_SSN , class10 ,    1048
 NETBIOS_SSN , class15 ,       8
 NETBIOS_SSN , class17 ,       4
 NETBIOS_SSN , class11 ,       1
 NETSTAT     , class10 ,    1042
 NETSTAT     , class15 ,      14
 NETSTAT     , class17 ,       3
 NETSTAT     , class11 ,       1
 NNSP        , class10 ,    1036
 NNSP        , class15 ,       6
 NNSP        , class11 ,       1
 NNSP        , class17 ,       1
 NNTP        , class10 ,    1041
 NNTP        , class15 ,       9
 NNTP        , class17 ,       6
 NNTP        , class11 ,       1
 NTP_U       , normal  ,    3833
 OTHER       , normal  ,   56520
 OTHER       , class17 ,   12453
 OTHER       , class15 ,    2649
 OTHER       , class10 ,    1016
 OTHER       , class21 ,       5
 OTHER       , class16 ,       3
 OTHER       , class11 ,       1
 PM_DUMP     , class17 ,       5
 POP_2       , class10 ,    1039
 POP_2       , class15 ,       8
 POP_2       , class17 ,       3
 POP_2       , class11 ,       1
 POP_3       , class10 ,    1028
 POP_3       , normal  ,     922
 POP_3       , class15 ,       9
 POP_3       , class17 ,       3
 POP_3       , class11 ,       1
 PRINTER     , class10 ,    1038
 PRINTER     , class15 ,       7
 PRINTER     , class17 ,       3
 PRINTER     , class11 ,       1
 PRIVATE     , class10 , 1013634
 PRIVATE     , normal  ,   73853
 PRIVATE     , class15 ,    7200
 PRIVATE     , class17 ,    3146
 PRIVATE     , class11 ,    1231
 PRIVATE     , class20 ,     979
 PRIVATE     , class06 ,     702
 RED_I       , normal  ,       9
 REMOTE_JOB  , class10 ,    1051
 REMOTE_JOB  , class15 ,      15
 REMOTE_JOB  , class06 ,      13
 REMOTE_JOB  , class17 ,       3
 REMOTE_JOB  , class11 ,       1
 RJE         , class10 ,    1042
 RJE         , class15 ,      15
 RJE         , class06 ,      13
 RJE         , class17 ,       3
 RJE         , class11 ,       1
 SHELL       , class10 ,    1016
 SHELL       , class15 ,       7
 SHELL       , normal  ,       5
 SHELL       , class17 ,       4
 SHELL       , class11 ,       1
 SMTP        , normal  ,   95371
 SMTP        , class10 ,    1116
 SMTP        , class15 ,      15
 SMTP        , class17 ,      14
 SMTP        , class06 ,      13
 SMTP        , class11 ,       1
 SQL_NET     , class10 ,    1030
 SQL_NET     , class15 ,      10
 SQL_NET     , class17 ,       2
 SQL_NET     , class11 ,       1
 SSH         , class10 ,    1052
 SSH         , class06 ,      13
 SSH         , class15 ,      12
 SSH         , normal  ,       7
 SSH         , class17 ,       3
 SSH         , class11 ,       1
 SUNRPC      , class10 ,    1036
 SUNRPC      , class15 ,       9
 SUNRPC      , class17 ,       3
 SUNRPC      , class11 ,       1
 SUPDUP      , class10 ,    1039
 SUPDUP      , class15 ,      14
 SUPDUP      , class17 ,       3
 SUPDUP      , class11 ,       1
 SYSTAT      , class10 ,    1036
 SYSTAT      , class15 ,      14
 SYSTAT      , class17 ,       3
 SYSTAT      , class11 ,       1
 TELNET      , normal  ,    2227
 TELNET      , class10 ,    2022
 TELNET      , class04 ,      53
 TELNET      , class02 ,      21
 TELNET      , class06 ,      14
 TELNET      , class15 ,      13
 TELNET      , class17 ,       7
 TELNET      , class08 ,       5
 TELNET      , class16 ,       5
 TELNET      , class12 ,       3
 TELNET      , class09 ,       2
 TELNET      , class19 ,       2
 TELNET      , class07 ,       1
 TELNET      , class11 ,       1
 TFTP_U      , normal  ,       3
 TIME        , class10 ,    1037
 TIME        , normal  ,     509
 TIME        , class06 ,      13
 TIME        , class15 ,      13
 TIME        , class17 ,       3
 TIME        , class11 ,       1
 TIM_I       , normal  ,       7
 TIM_I       , class14 ,       5
 URH_I       , normal  ,     148
 URP_I       , normal  ,    5375
 URP_I       , class17 ,       3
 UUCP        , class10 ,    1039
 UUCP        , class15 ,       7
 UUCP        , class17 ,       6
 UUCP        , class11 ,       1
 UUCP_PATH   , class10 ,    1040
 UUCP_PATH   , class15 ,      10
 UUCP_PATH   , class17 ,       2
 UUCP_PATH   , class11 ,       1
 VMNET       , class10 ,    1027
 VMNET       , class15 ,       9
 VMNET       , class17 ,       2
 VMNET       , class11 ,       1
 WHOIS       , class10 ,    1038
 WHOIS       , class15 ,      14
 WHOIS       , class06 ,      13
 WHOIS       , class17 ,       3
 WHOIS       , class11 ,       1
 X11         , normal  ,     129
 X11         , class17 ,       6
 Z39_50      , class10 ,    1055
